    Difference  Octave Band
0          0.0         25.0
1          0.0         31.5
2          0.0         40.0
3          0.0         50.0
4         12.0         63.0
5          0.0         80.0
6          0.0        100.0
7          0.0        125.0
8        -12.0        160.0
9          0.0        200.0
10         0.0        250.0
11         0.0        315.0
12        12.0        400.0
13         0.0        500.0
14         0.0        630.0
15         0.0        800.0
16        12.0       1000.0
17         0.0       1250.0
18         0.0       1600.0
19        12.0       2000.0
20         0.0       2500.0
21         0.0       3150.0
22         0.0       4000.0
23         0.0       5000.0
24         0.0       6300.0
25        12.0       8000.0
26         0.0      10000.0
27         0.0      12500.0
28         0.0      16000.0
29         0.0      20000.0
